experiment;asymptotic;native real time;native user time;native sys time;native trigger time;native meval time
trigger-0-bounded-lhs-0-since;baseline;0.109;0.091;0.009;0.021438;0.055587
trigger-0-bounded-lhs-0-since;2n;0.241;0.206;0.017;0.039558;0.133374
trigger-0-bounded-lhs-0-since;2l;0.208;0.187;0.011;0.048083;0.116555
trigger-0-bounded-lhs-0-since;2c;0.444;0.419;0.015;0.08315;0.282398
trigger-0-bounded-lhs-0-since;4n;0.489;0.465;0.013;0.081432;0.277469
trigger-0-bounded-lhs-0-since;4l;0.389;0.365;0.015;0.085209;0.225934
trigger-0-bounded-lhs-0-since;4c;2.064;2.019;0.036;0.345843;1.26434
trigger-0-bounded-lhs-0-since;8n;1.106;1.074;0.026;0.199387;0.53352
trigger-0-bounded-lhs-0-since;8l;0.813;0.781;0.024;0.191238;0.494542
trigger-0-bounded-lhs-0-since;8c;9.343;9.218;0.109;1.71639;4.63009
trigger-0-bounded-lhs-0-since;baseline;0.113;0.094;0.014;0.022775;0.058029
trigger-0-bounded-lhs-0-since;2n;0.217;0.196;0.016;0.037219;0.125463
trigger-0-bounded-lhs-0-since;2l;0.204;0.184;0.015;0.046827;0.114331
trigger-0-bounded-lhs-0-since;2c;0.447;0.424;0.013;0.083867;0.287374
trigger-0-bounded-lhs-0-since;4n;0.486;0.461;0.015;0.080594;0.276736
trigger-0-bounded-lhs-0-since;4l;0.382;0.358;0.018;0.08267;0.221589
trigger-0-bounded-lhs-0-since;4c;2.063;2.020;0.030;0.344438;1.26928
trigger-0-bounded-lhs-0-since;8n;1.092;1.060;0.020;0.192374;0.521383
trigger-0-bounded-lhs-0-since;8l;0.804;0.772;0.022;0.188686;0.48545
trigger-0-bounded-lhs-0-since;8c;9.201;9.073;0.115;1.64792;4.49337
trigger-0-bounded-lhs-0-since;baseline;0.117;0.096;0.017;0.022832;0.05936
trigger-0-bounded-lhs-0-since;2n;0.219;0.199;0.015;0.037224;0.127578
trigger-0-bounded-lhs-0-since;2l;0.210;0.188;0.012;0.047316;0.115836
trigger-0-bounded-lhs-0-since;2c;0.445;0.420;0.015;0.08255;0.284047
trigger-0-bounded-lhs-0-since;4n;0.487;0.460;0.017;0.079973;0.276021
trigger-0-bounded-lhs-0-since;4l;0.405;0.379;0.022;0.087698;0.234935
trigger-0-bounded-lhs-0-since;4c;2.086;2.041;0.035;0.345162;1.27129
trigger-0-bounded-lhs-0-since;8n;1.097;1.063;0.024;0.191307;0.519944
trigger-0-bounded-lhs-0-since;8l;0.789;0.759;0.023;0.186343;0.47909
trigger-0-bounded-lhs-0-since;8c;9.369;9.234;0.118;1.64256;4.53534
trigger-0-bounded-lhs-0-since;baseline;0.124;0.106;0.016;0.027002;0.068066
trigger-0-bounded-lhs-0-since;2n;0.319;0.294;0.015;0.062702;0.199093
trigger-0-bounded-lhs-0-since;2l;0.297;0.268;0.020;0.07619;0.178852
trigger-0-bounded-lhs-0-since;2c;0.584;0.549;0.020;0.119244;0.393092
trigger-0-bounded-lhs-0-since;4n;0.615;0.582;0.026;0.104133;0.356934
trigger-0-bounded-lhs-0-since;4l;0.671;0.629;0.027;0.174127;0.435104
trigger-0-bounded-lhs-0-since;4c;2.776;2.690;0.063;0.512807;1.73996
trigger-0-bounded-lhs-0-since;8n;1.149;1.116;0.022;0.203656;0.554433
trigger-0-bounded-lhs-0-since;8l;0.808;0.777;0.019;0.191337;0.493339
trigger-0-bounded-lhs-0-since;8c;9.286;9.159;0.117;1.63436;4.48269
trigger-0-bounded-lhs-1-historically;baseline;0.226;0.199;0.021;0.047421;0.12949
trigger-0-bounded-lhs-1-historically;2n;0.450;0.424;0.015;0.07976;0.264512
trigger-0-bounded-lhs-1-historically;2l;0.409;0.383;0.017;0.09108;0.257848
trigger-0-bounded-lhs-1-historically;2c;1.206;1.156;0.032;0.224361;0.766461
trigger-0-bounded-lhs-1-historically;4n;1.175;1.132;0.028;0.218391;0.588736
trigger-0-bounded-lhs-1-historically;4l;0.797;0.767;0.021;0.191487;0.521862
trigger-0-bounded-lhs-1-historically;4c;4.215;4.153;0.049;0.788955;2.11978
trigger-0-bounded-lhs-1-historically;8n;2.377;2.329;0.032;0.466284;1.12745
trigger-0-bounded-lhs-1-historically;8l;1.632;1.592;0.027;0.400123;1.09025
trigger-0-bounded-lhs-1-historically;8c;19.152;18.968;0.171;3.7483;9.02707
trigger-0-bounded-lhs-1-historically;baseline;0.199;0.177;0.013;0.042357;0.114258
trigger-0-bounded-lhs-1-historically;2n;0.440;0.418;0.017;0.078688;0.26196
trigger-0-bounded-lhs-1-historically;2l;0.400;0.379;0.017;0.090194;0.253174
trigger-0-bounded-lhs-1-historically;2c;0.890;0.864;0.021;0.161992;0.550008
trigger-0-bounded-lhs-1-historically;4n;1.004;0.974;0.021;0.182031;0.491858
trigger-0-bounded-lhs-1-historically;4l;0.801;0.774;0.022;0.191569;0.528698
trigger-0-bounded-lhs-1-historically;4c;4.191;4.133;0.047;0.79034;2.11214
trigger-0-bounded-lhs-1-historically;8n;2.260;2.221;0.029;0.453641;1.0853
trigger-0-bounded-lhs-1-historically;8l;1.617;1.582;0.028;0.393834;1.08308
trigger-0-bounded-lhs-1-historically;8c;18.996;18.824;0.157;3.7231;9.00948
trigger-0-bounded-lhs-1-historically;baseline;0.205;0.184;0.012;0.04423;0.119196
trigger-0-bounded-lhs-1-historically;2n;0.455;0.433;0.011;0.081456;0.270113
trigger-0-bounded-lhs-1-historically;2l;0.394;0.372;0.011;0.088555;0.248497
trigger-0-bounded-lhs-1-historically;2c;0.891;0.863;0.017;0.161397;0.54952
trigger-0-bounded-lhs-1-historically;4n;1.010;0.982;0.022;0.189274;0.500984
trigger-0-bounded-lhs-1-historically;4l;0.791;0.765;0.016;0.189978;0.521893
trigger-0-bounded-lhs-1-historically;4c;4.204;4.144;0.045;0.805536;2.13071
trigger-0-bounded-lhs-1-historically;8n;2.279;2.240;0.031;0.453608;1.08764
trigger-0-bounded-lhs-1-historically;8l;1.634;1.595;0.033;0.394392;1.08429
trigger-0-bounded-lhs-1-historically;8c;19.063;18.890;0.151;3.74003;8.98825
trigger-0-bounded-lhs-1-historically;baseline;0.195;0.176;0.015;0.041862;0.113473
trigger-0-bounded-lhs-1-historically;2n;0.450;0.426;0.015;0.079745;0.267265
trigger-0-bounded-lhs-1-historically;2l;0.397;0.375;0.017;0.089829;0.252364
trigger-0-bounded-lhs-1-historically;2c;0.882;0.854;0.017;0.161248;0.545656
trigger-0-bounded-lhs-1-historically;4n;1.002;0.973;0.017;0.181657;0.496121
trigger-0-bounded-lhs-1-historically;4l;0.793;0.767;0.015;0.189958;0.523105
trigger-0-bounded-lhs-1-historically;4c;4.139;4.081;0.044;0.777445;2.07853
trigger-0-bounded-lhs-1-historically;8n;2.258;2.217;0.035;0.446066;1.07836
trigger-0-bounded-lhs-1-historically;8l;1.630;1.595;0.026;0.394428;1.0836
trigger-0-bounded-lhs-1-historically;8c;18.839;18.668;0.160;3.56513;8.75388
trigger-0-bounded-lhs-1-historically;baseline;0.202;0.183;0.014;0.042883;0.117749
trigger-0-bounded-lhs-1-historically;2n;0.452;0.428;0.015;0.080413;0.266386
trigger-0-bounded-lhs-1-historically;2l;0.402;0.379;0.013;0.091989;0.254392
trigger-0-bounded-lhs-1-historically;2c;0.904;0.874;0.019;0.164;0.556545
trigger-0-bounded-lhs-1-historically;4n;0.989;0.962;0.016;0.181664;0.489609
trigger-0-bounded-lhs-1-historically;4l;0.801;0.775;0.019;0.19178;0.528172
trigger-0-bounded-lhs-1-historically;4c;4.170;4.115;0.047;0.781974;2.10674
trigger-0-bounded-lhs-1-historically;8n;2.265;2.227;0.026;0.443384;1.08457
trigger-0-bounded-lhs-1-historically;8l;1.611;1.573;0.030;0.387951;1.07191
trigger-0-bounded-lhs-1-historically;8c;18.931;18.758;0.152;3.61029;8.88595
trigger-0-bounded-lhs-1-historically;baseline;0.196;0.177;0.013;0.042068;0.113833
trigger-0-bounded-lhs-1-historically;2n;0.441;0.419;0.016;0.078555;0.260429
trigger-0-bounded-lhs-1-historically;2l;0.402;0.380;0.018;0.09182;0.254505
trigger-0-bounded-lhs-1-historically;2c;0.878;0.850;0.016;0.15995;0.543225
trigger-0-bounded-lhs-1-historically;4n;0.991;0.963;0.022;0.180851;0.490886
trigger-0-bounded-lhs-1-historically;4l;0.804;0.777;0.018;0.191808;0.529157
trigger-0-bounded-lhs-1-historically;4c;4.165;4.110;0.042;0.79862;2.10444
trigger-0-bounded-lhs-1-historically;8n;2.254;2.215;0.033;0.445434;1.08024
trigger-0-bounded-lhs-1-historically;8l;1.607;1.571;0.028;0.389122;1.07368
trigger-0-bounded-lhs-1-historically;8c;18.819;18.651;0.152;3.59152;8.78535
trigger-0-bounded-lhs-1-historically;baseline;0.195;0.175;0.015;0.041601;0.112544
trigger-0-bounded-lhs-1-historically;2n;0.452;0.429;0.018;0.082613;0.269471
trigger-0-bounded-lhs-1-historically;2l;0.395;0.372;0.013;0.088117;0.249209
trigger-0-bounded-lhs-1-historically;2c;0.926;0.897;0.017;0.168069;0.572804
trigger-0-bounded-lhs-1-historically;4n;1.005;0.976;0.019;0.18109;0.494984
trigger-0-bounded-lhs-1-historically;4l;0.799;0.771;0.017;0.192282;0.527349
